course_department;course_code;professor;time;course_title;completed;total_enrolled;the_course_content;amount_learned;the_course_as_a_whole;instructors_effectiveness;grading_techniques
AA;198;carl knowlen;au13;Special Topics in Aeronautics and Astronautics;25;25;4.27;4.25;4.45;4.29;4.11
AA;198;carl knowlen;au14;Special Topics in Aeronautics and Astronautics;24;25;4.33;4.39;4.29;4.21;4.54
AA;210;raymond golingo;su14;Engineering Statics;15;37;3.6;3.5;3.5;3.3;3.64
AA;210;raymond golingo;au14;Engineering Statics;138;197;3.49;3.48;3.13;2.61;3.46
AA;210;raymond golingo;wi15;Engineering Statics;97;203;3.57;3.59;3.16;2.78;3.29
AA;210;raymond golingo;au13;Engineering Statics;99;194;3.57;3.55;3.41;3.15;3.51
AA;210;raymond golingo;wi14;Engineering Statics;36;185;3.5;3.83;3.59;3.77;3.88
AA;210;asghar esmaeeli;au13;Engineering Statics;39;58;3.78;3.46;3.72;3.5;3.62
AA;210;richard lewis;wi14;Engineering Statics;26;60;3.6;3.72;3.68;3.0;4.0
AA;210;raymond golingo;au14;Engineering Statics;18;48;3.7;3.8;3.5;3.0;3.43
AA;260;carl knowlen;su14;Thermodynamics;20;28;4.5;4.59;4.67;4.5;4.5
AA;260;carl knowlen;su13;Thermodynamics;24;30;3.64;3.94;3.63;3.83;3.88
AA;260;raymond golingo;sp15;Thermodynamics;29;116;3.18;3.33;3.05;2.78;3.13
AA;260;david ennis;sp13;Thermodynamics;62;124;3.63;3.5;3.35;3.26;2.94
AA;260;raymond golingo;sp14;Thermodynamics;48;130;3.6;3.78;3.38;2.88;3.55
AA;301;robert breidenthal;wi15;Compressible Aerodynamics;28;64;4.05;4.11;3.68;3.5;2.81
AA;301;mitsuru kurosaka;wi14;Compressible Aerodynamics;36;57;4.32;4.0;4.33;4.72;4.18
AA;302;robert breidenthal;sp15;Incompressible Aerodynamics;26;64;NULL;3.83;3.39;NULL;NULL
AA;302;dana dabiri;sp13;Incompressible Aerodynamics;42;61;NULL;2.97;2.83;NULL;NULL
AA;302;robert breidenthal;sp14;Incompressible Aerodynamics;34;57;NULL;3.88;3.7;NULL;NULL
AA;310;carl knowlen;au14;Orbital and Space Flight Mechanics;53;66;4.16;4.28;4.22;4.04;4.05
AA;310;james hermanson;au13;Orbital and Space Flight Mechanics;38;58;4.32;4.43;4.19;4.5;4.13
AA;311;robert breidenthal;au14;Atmospheric Flight Mechanics;35;66;3.35;3.18;3.18;3.06;2.61
AA;311;carl knowlen;au13;Atmospheric Flight Mechanics;46;57;4.16;4.43;4.21;4.17;4.21
AA;312;raymond golingo;wi15;Structural Vibrations;24;64;3.05;2.21;2.25;1.17;3.0
AA;312;raymond golingo;wi14;Structural Vibrations;30;58;1.94;2.5;1.7;1.5;2.92
AA;320;adam bruckner;au14;Aerospace Instrumentation;37;66;NULL;4.3;NULL;4.12;NULL
AA;320;adam bruckner;au13;Aerospace Instrumentation;55;59;NULL;3.76;NULL;3.57;NULL
AA;321;adam bruckner;wi14;Aerospace Laboratory I;43;57;NULL;3.38;NULL;3.63;NULL
AA;321;adam bruckner;wi15;Aerospace Laboratory I;35;64;NULL;4.16;NULL;4.27;NULL
AA;322;adam bruckner;sp15;Aerospace Laboratory II;35;64;4.27;NULL;4.46;4.61;NULL
AA;322;adam bruckner;sp13;Aerospace Laboratory II;29;60;NULL;4.4;NULL;3.5;NULL
AA;322;adam bruckner;sp14;Aerospace Laboratory II;25;57;NULL;4.54;NULL;4.5;NULL
AA;331;jinkyu yang;wi15;Aerospace Structures I;56;64;3.91;3.68;4.0;4.31;3.98
AA;331;jinkyu yang;wi14;Aerospace Structures I;43;58;NULL;3.83;4.14;NULL;NULL
AA;332;jinkyu yang;sp15;Aerospace Structures II;53;64;3.38;3.29;3.34;3.19;3.45
AA;332;kuen lin;sp13;Aerospace Structures II;39;60;4.03;4.08;4.18;4.53;4.09
AA;360;mitsuru kurosaka;sp15;Propulsion;27;64;3.88;3.85;3.85;3.95;4.06
AA;360;mitsuru kurosaka;sp13;Propulsion;41;62;4.28;4.21;4.37;4.52;4.0
AA;360;mitsuru kurosaka;sp14;Propulsion;16;57;4.17;3.7;3.9;4.17;4.0
AA;400;carl knowlen;wi15;Gas Dynamics;10;19;3.9;4.67;4.17;4.3;4.67
AA;400;carl knowlen;wi14;Gas Dynamics;20;28;3.41;3.5;3.75;3.83;4.33
AA;402;antonino ferrante;au14;Fluid Mechanics;29;38;3.55;3.59;3.93;4.0;3.67
AA;402;antonino ferrante;au13;Fluid Mechanics;24;28;4.58;4.23;4.7;4.75;4.75
AA;405;setthivoine you;au14;Introduction to Aerospace Plasmas;7;15;4.0;4.0;4.0;3.0;2.0
AA;405;uri shumlak;au13;Introduction to Aerospace Plasmas;28;29;4.66;4.5;4.54;4.68;3.42
AA;411;eli livne;sp13;Aircraft Design II;23;39;4.45;NULL;4.68;3.75;NULL
AA;411;eli livne;sp14;Aircraft Design II;29;33;4.65;NULL;4.78;4.59;NULL
AA;419;dana dabiri;wi15;Aerospace Heat Transfer;11;18;NULL;2.33;1.25;NULL;NULL
AA;419;setthivoine you;wi14;Aerospace Heat Transfer;18;19;3.2;2.7;2.88;2.94;2.83
AA;420;charles vaughan;wi15;Spacecraft and Space Systems Design I;7;23;2.88;2.88;3.0;2.88;2.75
AA;420;dana andrews;wi14;Spacecraft and Space Systems Design I;19;27;NULL;2.13;2.2;NULL;NULL
AA;421;charles vaughan;sp15;Spacecraft and Space System Design II;14;23;3.33;NULL;2.93;2.86;NULL
AA;421;dana andrews;sp13;Spacecraft and Space System Design II;19;24;3.11;3.2;3.08;2.86;2.69
AA;421;dana andrews;sp14;Spacecraft and Space System Design II;16;27;1.75;1.5;1.5;1.25;0.83
AA;430;francesco deleo;au14;Finite Element Analysis in Aerospace;21;35;4.59;4.59;4.69;4.8;4.21
AA;430;keith holsapple;au13;Finite Element Analysis in Aerospace;15;38;2.31;2.0;2.33;1.86;3.0
AA;432;francesco deleo;wi15;Composite Materials for Aerospace Structures;20;29;4.67;4.73;4.59;4.67;4.59
AA;432;kuen lin;wi14;Composite Materials for Aerospace Structures;19;27;4.75;4.65;4.75;4.68;4.6
AA;440;anshu narang-siddarth;wi15;Flight Mechanics I;17;26;3.56;3.19;3.57;3.38;3.44
AA;440;anshu narang-siddarth;wi14;Flight Mechanics I;16;23;NULL;2.64;2.75;NULL;NULL
AA;441;scott eberhardt;sp15;Flight Test Engineering;6;15;NULL;4.5;NULL;4.5;NULL
AA;441;robert breidenthal;sp13;Flight Test Engineering;5;31;NULL;3.33;NULL;3.13;NULL
AA;447;christopher lum;au13;Control in Aerospace Systems;51;60;4.56;4.38;4.33;4.81;3.34
AA;447;christopher lum;au14;Control in Aerospace Systems;39;61;4.28;4.45;4.24;4.57;4.18
AA;448;christopher lum;wi15;Control Systems Sensors and Actuators;16;25;4.77;4.88;4.88;4.88;4.75
AA;448;christopher lum;wi14;Control Systems Sensors and Actuators;20;23;4.83;4.87;4.88;4.88;4.55
AA;461;mitsuru kurosaka;au14;Advanced Air Breathing Propulsion;15;33;3.86;3.57;3.69;3.86;3.75
AA;461;robert breidenthal;au13;Advanced Air Breathing Propulsion;21;25;2.25;2.06;1.6;1.75;1.0
AA;462;carl knowlen;sp15;Rocket Propulsion;22;29;4.1;3.63;4.05;4.38;4.05
AA;462;carl knowlen;sp13;Rocket Propulsion;15;23;4.31;4.0;4.15;4.22;4.05
AA;462;carl knowlen;sp14;Rocket Propulsion;23;33;4.44;4.13;4.44;4.73;4.4
AA;470;susan murphy;au13;Systems Engineering;24;29;4.2;4.33;4.3;4.06;4.21
AA;470;susan murphy;au14;Systems Engineering;16;26;NULL;3.31;3.36;NULL;NULL
AA;503;dana dabiri;au14;Continuum Mechanics;19;29;3.33;3.56;3.05;3.0;3.08
AA;503;iman datta;au14;Continuum Mechanics;19;29;3.43;3.3;3.25;3.81;3.25
AA;504;robert breidenthal;au14;Compressible Fluid Mechanics;17;21;3.57;3.71;3.75;3.6;3.5
AA;504;mitsuru kurosaka;sp13;Compressible Fluid Mechanics;5;9;3.75;3.67;3.75;3.75;3.0
AA;504;scott eberhardt;sp14;Compressible Fluid Mechanics;8;14;3.5;3.25;3.5;2.75;3.17
AA;506;robert breidenthal;sp14;Vortex-Dominated Flows;5;12;2.75;2.67;2.67;2.25;2.33
AA;507;robert breidenthal;wi14;Fluid Mechanics;17;27;2.8;2.6;3.08;3.0;2.25
AA;508;robert breidenthal;sp15;Turbulence;6;10;4.17;4.17;3.83;4.0;3.5
AA;508;robert breidenthal;sp13;Turbulence;7;12;4.0;3.75;3.75;3.38;2.67
AA;510;mehran mesbahi;au14;Mathematical Foundations of Systems Theory;14;19;4.63;4.63;4.63;4.72;4.5
AA;510;mehran mesbahi;au13;Mathematical Foundations of Systems Theory;22;24;4.33;4.42;4.5;4.77;4.06
AA;516;anshu narang-siddarth;au14;Stability and Control of Flight Vehicles;16;20;4.0;3.9;3.88;3.83;4.1
AA;516;stefan bieniawski;au13;Stability and Control of Flight Vehicles;10;16;4.1;4.25;4.0;3.75;2.75
AA;523;setthivoine you;au13;Special Topics in Fluid Physics;4;7;4.83;3.5;4.5;4.83;2.83
AA;523;derek sutherland;sp15;Special Topics in Fluid Physics;8;9;4.7;4.83;4.7;4.83;4.7
AA;523;setthivoine you;wi15;Special Topics in Fluid Physics;3;4;4.75;4.25;4.75;4.75;3.75
AA;524;mitsuru kurosaka;au13;Aeroacoustics;6;18;3.5;3.25;3.5;3.83;3.5
AA;525;mitsuru kurosaka;wi14;Special Topics in Advanced Airbreathing Engines;6;12;4.25;3.9;4.5;4.25;4.5
AA;527;robert folsom;au14;Space Power Systems;27;35;3.18;3.08;2.81;2.0;3.2
AA;528;unsik lee;wi15;Spacecraft Dynamics and Control;19;31;2.92;2.57;2.0;1.43;2.29
AA;529;setthivoine you;sp13;Space Propulsion;10;24;3.0;2.1;2.75;2.75;1.7
AA;529;setthivoine you;sp15;Space Propulsion;9;28;3.75;3.0;3.0;2.75;2.0
AA;530;jinkyu yang;au14;Mechanics of Solids;22;27;4.1;4.39;4.0;4.65;4.1
AA;530;kuen lin;au13;Mechanics of Solids;11;27;3.42;3.2;3.63;3.08;3.38
AA;531;patrick safarian;wi15;Integrity of Metallic Aircraft Structures;6;11;4.0;4.67;4.0;3.5;3.0
AA;531;patrick safarian;sp14;Integrity of Metallic Aircraft Structures;2;1;4.5;4.0;4.5;4.5;4.5
AA;532;kuen lin;au13;Mechanics of Composite Materials;5;6;4.0;4.67;4.33;3.75;4.0
AA;532;kuen lin;au14;Mechanics of Composite Materials;6;4;3.83;4.0;4.0;3.5;3.5
AA;532;melanie violette;wi15;Mechanics of Composite Materials;16;26;4.36;4.5;4.36;4.7;4.5
AA;533;jeffrey miller;wi15;Materials and Processing Technology of Aerospace Composites;9;13;4.75;4.75;4.38;4.08;4.94
AA;533;jeffrey miller;wi14;Materials and Processing Technology of Aerospace Composites;12;21;4.64;4.5;4.5;4.33;4.17
AA;534;melanie violette;sp15;Integrity of Composite Aircraft Structures;8;19;3.9;3.7;3.83;3.5;4.0
AA;534;paolo feraboli;sp13;Integrity of Composite Aircraft Structures;11;11;4.58;4.58;4.58;4.42;4.4
AA;534;patrick safarian;sp14;Integrity of Composite Aircraft Structures;9;19;NULL;2.25;2.25;NULL;NULL
AA;538;eli livne;au13;Introduction to Structural Optimization;17;22;4.33;4.56;4.13;4.25;3.72
AA;540;patrick safarian;wi15;Finite Element Analysis I;24;40;3.0;3.33;2.93;2.83;2.8
AA;540;rajesh chaunsali;wi15;Finite Element Analysis I;30;40;3.25;3.43;3.33;3.5;2.88
AA;543;uri shumlak;wi15;Computational Fluid Dynamics;17;26;4.22;4.31;4.44;4.73;4.06
AA;543;uri shumlak;wi14;Computational Fluid Dynamics;24;31;4.25;4.25;4.32;4.78;3.31
AA;544;antonino ferrante;sp15;Turbulence Modeling and Simulation;9;13;4.0;4.6;4.0;4.0;4.0
AA;544;antonino ferrante;sp13;Turbulence Modeling and Simulation;7;11;4.33;4.63;4.33;4.63;4.13
AA;544;antonino ferrante;sp14;Turbulence Modeling and Simulation;5;8;4.0;4.25;4.33;4.33;3.67
AA;545;uri shumlak;sp15;Computational Methods for Plasmas;4;4;4.83;4.83;4.5;4.5;4.17
AA;545;uri shumlak;sp13;Computational Methods for Plasmas;3;6;4.75;4.75;4.75;4.75;4.25
AA;546;kristi hill;wi15;Advanced Topics in Control System Theory;4;5;4.5;5.0;4.5;4.5;4.75
AA;548;mehran mesbahi;wi14;Linear Multivariable Control;19;29;4.05;4.05;4.19;4.14;3.75
AA;549;kristi hill;sp15;Estimation and System Identification;24;42;4.0;4.0;3.79;3.5;3.75
AA;549;kristi hill;sp13;Estimation and System Identification;12;42;4.0;4.25;4.0;3.93;3.63
AA;554;eli livne;sp14;Aeroelasticity;20;27;4.5;4.4;4.13;4.1;3.81
AA;557;thomas jarboe;wi14;Physics of Fusion Plasmas;9;12;3.0;2.25;2.63;2.75;2.08
AA;558;uri shumlak;sp14;Plasma Theory;11;15;4.08;4.4;4.25;4.71;4.0
AA;560;roger smith;au14;Plasma Diagnostics;10;11;4.07;3.9;3.33;3.1;3.75
AA;564;setthivoine you;sp14;Kinetic Theory/Radiative Transfer;4;4;3.83;3.5;3.5;4.0;1.0
AA;565;thomas jarboe;wi15;Fusion Reactor Fundamentals;9;11;4.33;4.2;3.75;4.0;3.33
AA;580;kristi hill;sp14;Geometric Methods for Non-Linear Control Systems;8;8;3.9;3.5;3.5;3.75;3.5
AA;597;airlie chapman;sp14;Networked Dynamics Systems;19;19;3.6;4.06;4.06;4.15;3.08
AA;597;prachya panyakeow;sp14;Networked Dynamics Systems;12;19;4.0;3.83;4.13;3.5;3.75
AA;598;kristi hill;au14;Special Topics in Aeronautics and Astronautics;5;7;4.0;4.0;3.75;3.25;4.0
AA;598;steven stanley;wi15;Special Topics in Aeronautics and Astronautics;8;10;4.0;4.25;3.7;3.5;2.5
AA;598;kuen lin;au14;Special Topics in Aeronautics and Astronautics;3;14;4.0;3.25;4.0;4.0;3.0
AA;598;antonino ferrante;wi14;Special Topics in Aeronautics and Astronautics;8;13;4.0;4.0;3.75;3.5;3.5
AA;598;mitsuru kurosaka;au14;Special Topics in Aeronautics and Astronautics;6;9;3.0;3.17;2.5;2.17;2.17
AA;598;antonino ferrante;wi15;Special Topics in Aeronautics and Astronautics;9;11;3.33;2.33;3.33;3.0;3.63
AA;598;kuen lin;wi14;Special Topics in Aeronautics and Astronautics;10;24;3.9;3.67;3.9;3.83;3.67
AA;598;uy-loi ly;sp14;Special Topics in Aeronautics and Astronautics;6;8;4.0;NULL;3.75;NULL;3.5
